World Name,Theorem Name,Correct Accuracy,Proof Accuracy
correct_test.json,rw_intro,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,rw_backwards,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact,1 / 1 = 100.00%,1 / 1 = 100.00%
correct_test.json,exact_2,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_3,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_4,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_6,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_7,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_9,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_10,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_ne_one,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,two_five,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_add,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_add,0 / 8 = 0.00%,0 / 1 = 0.00%
correct_test.json,add_assoc,0 / 10 = 0.00%,0 / 1 = 0.00%
correct_test.json,add_right_comm,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_test.json,le_trans,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_antisymm,1 / 9 = 11.11%,0 / 1 = 0.00%
correct_test.json,le_one,0 / 9 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_two,0 / 16 = 0.00%,0 / 1 = 0.00%
correct_test.json,add_left_eq_zero,0 / 7 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_pow_zero,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,pow_one,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,pow_add,0 / 11 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_one,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_mul,0 / 7 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_mul,0 / 8 = 0.00%,0 / 1 = 0.00%
correct_test.json,one_mul,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_assoc,0 / 8 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_zero,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_succ,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_left_ne_zero,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,eq_succ_of_ne_zero,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_right_eq_one,1 / 14 = 7.14%,0 / 1 = 0.00%
correct_test.json,mul_eq_zero,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_left_cancel,0 / 19 = 0.00%,0 / 1 = 0.00%
Total,4 / 206 = 1.94%,1 / 36 = 2.78%
correct_test.json,rw_intro,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,rw_backwards,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact,0 / 1 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_2,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_3,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_4,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_6,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_7,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_9,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_10,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_ne_one,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,two_five,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_add,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_add,0 / 8 = 0.00%,0 / 1 = 0.00%
correct_test.json,add_assoc,0 / 10 = 0.00%,0 / 1 = 0.00%
correct_test.json,add_right_comm,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_trans,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_antisymm,0 / 9 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_one,0 / 9 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_two,0 / 16 = 0.00%,0 / 1 = 0.00%
correct_test.json,add_left_eq_zero,0 / 7 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_pow_zero,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,pow_one,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,pow_add,0 / 11 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_one,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_mul,0 / 7 = 0.00%,0 / 1 = 0.00%
correct_test.json,rw_intro,2 / 2 = 100.00%,1 / 1 = 100.00%
correct_test.json,rw_backwards,2 / 3 = 66.67%,0 / 1 = 0.00%
correct_test.json,exact,0 / 1 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_2,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_3,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,exact_4,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_6,2 / 4 = 50.00%,0 / 1 = 0.00%
correct_test.json,exact_7,2 / 2 = 100.00%,1 / 1 = 100.00%
correct_test.json,exact_9,3 / 4 = 75.00%,0 / 1 = 0.00%
correct_test.json,exact_10,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_ne_one,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,two_five,1 / 5 = 20.00%,0 / 1 = 0.00%
correct_test.json,zero_add,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_add,5 / 8 = 62.50%,0 / 1 = 0.00%
correct_test.json,add_assoc,7 / 10 = 70.00%,0 / 1 = 0.00%
correct_test.json,add_right_comm,3 / 4 = 75.00%,0 / 1 = 0.00%
correct_test.json,le_trans,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_antisymm,3 / 9 = 33.33%,0 / 1 = 0.00%
correct_test.json,le_one,3 / 9 = 33.33%,0 / 1 = 0.00%
correct_test.json,le_two,8 / 16 = 50.00%,0 / 1 = 0.00%
correct_test.json,add_left_eq_zero,5 / 7 = 71.43%,0 / 1 = 0.00%
correct_test.json,zero_pow_zero,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,pow_one,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,pow_add,2 / 11 = 18.18%,0 / 1 = 0.00%
correct_test.json,mul_one,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_mul,5 / 7 = 71.43%,0 / 1 = 0.00%
correct_test.json,succ_mul,2 / 8 = 25.00%,0 / 1 = 0.00%
correct_test.json,one_mul,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,mul_assoc,4 / 8 = 50.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_zero,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_succ,2 / 3 = 66.67%,0 / 1 = 0.00%
correct_test.json,mul_left_ne_zero,2 / 4 = 50.00%,0 / 1 = 0.00%
correct_test.json,eq_succ_of_ne_zero,3 / 4 = 75.00%,0 / 1 = 0.00%
correct_test.json,mul_right_eq_one,2 / 14 = 14.29%,0 / 1 = 0.00%
correct_test.json,mul_eq_zero,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,mul_left_cancel,7 / 19 = 36.84%,0 / 1 = 0.00%
Total,80 / 206 = 38.83%,2 / 36 = 5.56%
